num_chars,alphabet_size,seed_prior,num_cells,seq_prior,algorithm,runtime,memory_usage,cpu_usage
30,100,02,500,02,laml_fastEM_gpu,15314.14,36252418.048,72.0
30,30,06,250,04,laml_fastEM_gpu,3921.06,,
30,100,01,250,05,laml_fastEM_gpu,4085.29,36248223.744,67.0
30,30,03,250,04,laml_fastEM_gpu,3659.88,,
30,30,08,250,01,laml_fastEM_gpu,9132.88,,
30,30,01,500,02,laml_fastEM_gpu,16798.22,36252418.048,75.0
30,30,04,250,02,laml_fastEM_gpu,5112.99,,
30,30,03,250,01,laml_fastEM_gpu,4456.07,,
30,100,02,250,02,laml_fastEM_gpu,3814.73,36248223.744,69.0
30,100,02,250,01,laml_fastEM_gpu,5281.24,,
30,30,02,1000,01,laml_fastEM_gpu,37898.26,36250320.896,57.0
30,30,02,500,03,laml_fastEM_gpu,17857.18,36252418.048,71.0
30,30,02,1000,02,laml_fastEM_gpu,31461.21,36252418.048,54.0
30,100,06,250,04,laml_fastEM_gpu,4434.97,,
30,100,03,250,05,laml_fastEM_gpu,4096.89,,
30,30,08,250,05,laml_fastEM_gpu,5279.37,,
30,100,05,250,03,laml_fastEM_gpu,4651.06,,
30,30,02,1000,04,laml_fastEM_gpu,35513.63,36252418.048,71.0
30,30,09,250,02,laml_fastEM_gpu,4236.43,,
30,30,09,250,01,laml_fastEM_gpu,5676.55,,
30,30,07,250,04,laml_fastEM_gpu,6929.03,,
30,100,02,1000,02,laml_fastEM_gpu,34923.06,36252418.048,71.0
30,100,02,1000,04,laml_fastEM_gpu,32793.55,36252418.048,70.0
30,30,01,250,01,laml_fastEM_gpu,1841.51,36248223.744,73.0
30,100,01,500,01,laml_fastEM_gpu,15435.02,36252418.048,70.0
30,100,10,250,03,laml_fastEM_gpu,5189.47,,
30,100,05,250,01,laml_fastEM_gpu,6342.15,,
30,100,10,250,01,laml_fastEM_gpu,7038.77,,
30,30,02,500,01,laml_fastEM_gpu,29594.77,36252418.048,76.0
30,100,09,250,05,laml_fastEM_gpu,4406.44,,
30,100,09,250,03,laml_fastEM_gpu,3805.56,,
30,30,06,250,02,laml_fastEM_gpu,9937.04,,
30,100,05,250,04,laml_fastEM_gpu,4758.68,,
30,30,02,500,02,laml_fastEM_gpu,16249.98,36252418.048,71.0
30,100,01,5000,04,laml_fastEM_gpu,151231.17,36252418.048,88.0
30,30,01,1000,04,laml_fastEM_gpu,26658.42,36252418.048,71.0
30,30,08,250,02,laml_fastEM_gpu,8010.98,,
30,30,06,250,05,laml_fastEM_gpu,3611.69,,
30,30,02,250,04,laml_fastEM_gpu,3581.91,36248223.744,68.0
30,30,03,250,03,laml_fastEM_gpu,4349.69,,
30,100,08,250,03,laml_fastEM_gpu,8279.92,,
30,100,03,250,02,laml_fastEM_gpu,8222.45,,
30,100,03,250,04,laml_fastEM_gpu,8405.83,,
30,30,01,500,05,laml_fastEM_gpu,11306.53,36252418.048,56.0
30,100,01,500,05,laml_fastEM_gpu,14292.1,36252418.048,74.0
30,30,04,250,05,laml_fastEM_gpu,8929.76,,
30,100,03,250,01,laml_fastEM_gpu,5782.35,,
30,30,05,250,03,laml_fastEM_gpu,8271.37,,
30,100,03,250,03,laml_fastEM_gpu,8178.88,,
30,30,05,250,01,laml_fastEM_gpu,6089.15,,
30,30,10,250,02,laml_fastEM_gpu,5829.39,,
30,100,01,1000,02,laml_fastEM_gpu,32538.69,36246126.592,56.0
30,30,02,250,02,laml_fastEM_gpu,5208.39,36248223.744,69.0
30,30,10,250,04,laml_fastEM_gpu,6230.61,,
30,30,02,500,05,laml_fastEM_gpu,13293.31,36252418.048,73.0
30,100,02,500,03,laml_fastEM_gpu,14456.37,36252418.048,55.0
30,30,01,1000,01,laml_fastEM_gpu,30009.02,36252418.048,55.0
30,30,07,250,02,laml_fastEM_gpu,3728.67,,
30,100,04,250,03,laml_fastEM_gpu,6582.95,,
30,30,05,250,04,laml_fastEM_gpu,5304.38,,
