model_condition,method,memory_kb,cpu_percent,runtime_seconds
k30M30p01_medium_sub1000_r01,greedy,208252,7.02,0
k30M30p01_medium_sub1000_r02,greedy,208332,6.14,0
k30M30p01_medium_sub1000_r03,greedy,208720,7.02,0
k30M30p01_medium_sub1000_r04,greedy,209332,6.14,0
k30M30p01_medium_sub1000_r05,greedy,266700,5.15,1
k30M30p02_medium_sub1000_r01,greedy,267784,5.88,1
k30M30p02_medium_sub1000_r02,greedy,266960,5.15,1
k30M30p02_medium_sub1000_r03,greedy,268352,5.15,1
k30M30p02_medium_sub1000_r04,greedy,267128,3.79,1
k30M30p02_medium_sub1000_r05,greedy,265932,3.79,1
k30M30p03_medium_sub1000_r01,greedy,263592,3.79,1
k30M30p03_medium_sub1000_r02,greedy,263156,3.79,1
k30M30p03_medium_sub1000_r03,greedy,265084,3.79,1
k30M30p03_medium_sub1000_r04,greedy,264644,3.79,1
k30M30p03_medium_sub1000_r05,greedy,191360,4.55,0
k30M30p04_medium_sub1000_r01,greedy,266520,3.79,1
k30M30p04_medium_sub1000_r02,greedy,266356,3.79,1
k30M30p04_medium_sub1000_r03,greedy,266764,3.79,1
k30M30p04_medium_sub1000_r04,greedy,267908,3.79,1
k30M30p04_medium_sub1000_r05,greedy,3024,38.89,0
k30M30p05_medium_sub1000_r01,greedy,3024,38.89,0
k30M30p05_medium_sub1000_r02,greedy,3024,43.75,0
k30M30p05_medium_sub1000_r03,greedy,3024,43.75,0
k30M30p05_medium_sub1000_r04,greedy,3472,43.75,0
k30M30p05_medium_sub1000_r05,greedy,3024,43.75,0
k30M30p06_medium_sub1000_r01,greedy,3024,50.00,0
k30M30p06_medium_sub1000_r02,greedy,3256,43.75,0
k30M30p06_medium_sub1000_r03,greedy,2496,41.67,0
k30M30p06_medium_sub1000_r04,greedy,2500,41.67,0
k30M30p06_medium_sub1000_r05,greedy,2496,41.67,0
k30M30p07_medium_sub1000_r01,greedy,2496,50.00,0
k30M30p07_medium_sub1000_r02,greedy,2500,50.00,0
k30M30p07_medium_sub1000_r03,greedy,2500,50.00,0
k30M30p07_medium_sub1000_r04,greedy,2500,50.00,0
k30M30p07_medium_sub1000_r05,greedy,1668,50.00,0
k30M30p08_medium_sub1000_r01,greedy,2496,50.00,0
k30M30p08_medium_sub1000_r02,greedy,2500,41.67,0
k30M30p08_medium_sub1000_r03,greedy,1668,41.67,0
k30M30p08_medium_sub1000_r04,greedy,2500,50.00,0
k30M30p08_medium_sub1000_r05,greedy,2496,50.00,0
k30M30p09_medium_sub1000_r01,greedy,2496,50.00,0
k30M30p09_medium_sub1000_r02,greedy,2496,41.67,0
k30M30p09_medium_sub1000_r03,greedy,2496,41.67,0
k30M30p09_medium_sub1000_r04,greedy,2496,41.67,0
k30M30p09_medium_sub1000_r05,greedy,2500,41.67,0
k30M30p10_medium_sub1000_r01,greedy,2500,41.67,0
k30M30p10_medium_sub1000_r02,greedy,2496,41.67,0
k30M30p10_medium_sub1000_r03,greedy,2496,41.67,0
k30M30p10_medium_sub1000_r04,greedy,1668,41.67,0
k30M30p10_medium_sub1000_r05,greedy,3316,38.89,0
k30M30p01_medium_sub5000_r01,greedy,314048,48.18,0
k30M30p01_medium_sub5000_r02,greedy,314504,48.11,0
k30M30p01_medium_sub5000_r03,greedy,312716,47.22,0
k30M30p01_medium_sub5000_r04,greedy,309052,48.18,0
k30M30p01_medium_sub5000_r05,greedy,312184,48.15,0
