model_condition,method,memory_kb,cpu_percent,runtime_seconds
k30M30p01_medium_sub1000_r01,startle,2013772,0.00,NA
k30M30p01_medium_sub1000_r02,startle,2034148,0.00,NA
k30M30p01_medium_sub1000_r03,startle,2017468,0.00,NA
k30M30p01_medium_sub1000_r04,startle,1994.50M,0.00,NA
k30M30p01_medium_sub1000_r05,startle,2010276,0.00,NA
k30M30p02_medium_sub1000_r01,startle,2023784,0.00,NA
k30M30p02_medium_sub1000_r02,startle,2026076,0.55,NA
k30M30p02_medium_sub1000_r03,startle,2019640,0.00,NA
k30M30p02_medium_sub1000_r04,startle,2020552,0.00,NA
k30M30p02_medium_sub1000_r05,startle,2026776,0.00,NA
k30M30p03_medium_sub1000_r01,startle,2015404,0.00,NA
k30M30p03_medium_sub1000_r02,startle,2009076,0.00,NA
k30M30p03_medium_sub1000_r03,startle,2023884,0.00,NA
k30M30p03_medium_sub1000_r04,startle,2018952,0.00,NA
k30M30p03_medium_sub1000_r05,startle,2004708,0.00,NA
k30M30p04_medium_sub1000_r01,startle,2015828,0.00,NA
k30M30p04_medium_sub1000_r02,startle,2035156,0.00,NA
k30M30p04_medium_sub1000_r03,startle,2035392,0.00,NA
k30M30p04_medium_sub1000_r04,startle,2012500,0.00,NA
k30M30p04_medium_sub1000_r05,startle,1990.50M,0.00,NA
k30M30p05_medium_sub1000_r01,startle,2010808,0.00,NA
k30M30p05_medium_sub1000_r02,startle,2042956,0.00,NA
k30M30p05_medium_sub1000_r03,startle,2051172,0.00,NA
k30M30p05_medium_sub1000_r04,startle,2008240,0.00,NA
k30M30p05_medium_sub1000_r05,startle,2017732,0.00,NA
k30M30p06_medium_sub1000_r01,startle,2036256,0.00,NA
k30M30p06_medium_sub1000_r02,startle,2026080,0.00,NA
k30M30p06_medium_sub1000_r03,startle,2017216,0.00,NA
k30M30p06_medium_sub1000_r04,startle,2025604,0.00,NA
k30M30p06_medium_sub1000_r05,startle,2015976,0.00,NA
k30M30p07_medium_sub1000_r01,startle,2037240,0.00,NA
k30M30p07_medium_sub1000_r02,startle,2037540,0.00,NA
k30M30p07_medium_sub1000_r03,startle,2019784,0.00,NA
k30M30p07_medium_sub1000_r04,startle,2025616,0.00,NA
k30M30p07_medium_sub1000_r05,startle,2054124,0.00,NA
k30M30p08_medium_sub1000_r01,startle,2000144,0.00,NA
k30M30p08_medium_sub1000_r02,startle,2014524,0.00,NA
k30M30p08_medium_sub1000_r03,startle,2026980,0.00,NA
k30M30p08_medium_sub1000_r04,startle,2025312,0.00,NA
k30M30p08_medium_sub1000_r05,startle,2083540,0.00,NA
k30M30p09_medium_sub1000_r01,startle,2057324,0.00,NA
k30M30p09_medium_sub1000_r02,startle,2050444,0.00,NA
k30M30p09_medium_sub1000_r03,startle,2016136,0.00,NA
k30M30p09_medium_sub1000_r04,startle,2014032,0.00,NA
k30M30p09_medium_sub1000_r05,startle,2016092,0.00,NA
k30M30p10_medium_sub1000_r01,startle,2011812,0.00,NA
k30M30p10_medium_sub1000_r02,startle,2034048,0.00,NA
k30M30p10_medium_sub1000_r03,startle,2029916,0.00,NA
k30M30p10_medium_sub1000_r04,startle,2004052,0.00,NA
k30M30p10_medium_sub1000_r05,startle,2022588,0.00,NA
k30M30p01_medium_sub5000_r01,startle,3686972,0.00,NA
k30M30p01_medium_sub5000_r02,startle,3651300,0.00,NA
k30M30p01_medium_sub5000_r03,startle,3720164,0.00,NA
k30M30p01_medium_sub5000_r04,startle,3683216,0.00,NA
k30M30p01_medium_sub5000_r05,startle,3682884,0.00,NA
k30M30p02_medium_sub5000_r01,startle,3638328,0.00,NA
k30M30p02_medium_sub5000_r02,startle,3765336,0.00,NA
k30M30p02_medium_sub5000_r03,startle,3727604,0.00,NA
k30M30p02_medium_sub5000_r04,startle,3707532,0.00,NA
k30M30p02_medium_sub5000_r05,startle,3571428,0.00,NA
k30M30p03_medium_sub5000_r01,startle,3718484,0.00,NA
k30M30p03_medium_sub5000_r02,startle,3661764,0.00,NA
k30M30p03_medium_sub5000_r03,startle,3689516,0.00,NA
k30M30p03_medium_sub5000_r04,startle,3792260,0.00,NA
k30M30p03_medium_sub5000_r05,startle,3681972,0.00,NA
k30M30p04_medium_sub5000_r01,startle,3711056,0.00,NA
k30M30p04_medium_sub5000_r02,startle,3624548,0.00,NA
k30M30p04_medium_sub5000_r03,startle,3697036,0.00,NA
k30M30p04_medium_sub5000_r04,startle,3676996,0.00,NA
k30M30p04_medium_sub5000_r05,startle,3653220,0.00,NA
k30M30p05_medium_sub5000_r01,startle,3670724,0.00,NA
k30M30p05_medium_sub5000_r02,startle,3676524,0.00,NA
k30M30p05_medium_sub5000_r03,startle,3677248,0.00,NA
k30M30p05_medium_sub5000_r04,startle,2728300,0.00,NA
k30M30p05_medium_sub5000_r05,startle,3681548,0.00,NA
k30M30p06_medium_sub5000_r01,startle,3647240,0.00,NA
k30M30p06_medium_sub5000_r02,startle,3643084,0.00,NA
k30M30p06_medium_sub5000_r03,startle,3683700,0.00,NA
k30M30p06_medium_sub5000_r04,startle,3713772,0.00,NA
k30M30p06_medium_sub5000_r05,startle,3629812,0.00,NA
k30M30p07_medium_sub5000_r01,startle,3659272,0.00,NA
k30M30p07_medium_sub5000_r02,startle,3911376,0.00,NA
k30M30p07_medium_sub5000_r03,startle,3555616,0.00,NA
k30M30p07_medium_sub5000_r04,startle,3620912,0.00,NA
k30M30p07_medium_sub5000_r05,startle,3728332,0.00,NA
k30M30p08_medium_sub5000_r01,startle,2729156,0.00,NA
k30M30p08_medium_sub5000_r02,startle,2725100,0.00,NA
k30M30p08_medium_sub5000_r03,startle,2725256,0.00,NA
k30M30p08_medium_sub5000_r04,startle,3787188,0.00,NA
k30M30p08_medium_sub5000_r05,startle,2727720,0.00,NA
k30M30p09_medium_sub5000_r01,startle,3610644,0.00,NA
k30M30p09_medium_sub5000_r02,startle,3778036,0.00,NA
k30M30p09_medium_sub5000_r03,startle,3670112,0.00,NA
k30M30p09_medium_sub5000_r04,startle,3715296,0.00,NA
k30M30p09_medium_sub5000_r05,startle,3612736,0.00,NA
k30M30p10_medium_sub5000_r01,startle,3670412,0.00,NA
k30M30p10_medium_sub5000_r02,startle,3631336,0.00,NA
k30M30p10_medium_sub5000_r03,startle,3580008,0.00,NA
k30M30p10_medium_sub5000_r04,startle,3630732,0.00,NA
k30M30p10_medium_sub5000_r05,startle,3650368,0.00,NA
k30M100p01_medium_sub1000_r01,startle,2034880,0.00,NA
k30M100p01_medium_sub1000_r02,startle,2050480,0.00,NA
k30M100p01_medium_sub1000_r03,startle,2024764,0.00,NA
k30M100p01_medium_sub1000_r04,startle,2023664,0.00,NA
k30M100p01_medium_sub1000_r05,startle,2032980,0.00,NA
k30M100p02_medium_sub1000_r01,startle,2043924,0.00,NA
k30M100p02_medium_sub1000_r02,startle,2022936,0.00,NA
k30M100p02_medium_sub1000_r03,startle,1998344,0.00,NA
k30M100p02_medium_sub1000_r04,startle,2032164,0.00,NA
k30M100p02_medium_sub1000_r05,startle,2023092,0.00,NA
k30M100p03_medium_sub1000_r01,startle,2033684,0.00,NA
k30M100p03_medium_sub1000_r02,startle,2018108,0.00,NA
