k,p_rep,rep,modelcond,method,rf
30,01,01,k30s50d50,cassgreedy,0.471698
30,01,01,k30s50d50,casshybrid,0.259259
30,01,01,k30s50d50,cassilp,0.283019
30,01,01,k30s50d50,startle,0.296296
30,01,01,k30s50d50,laml,0.290909
30,01,02,k30s50d50,cassgreedy,0.346154
30,01,02,k30s50d50,casshybrid,0.370370
30,01,02,k30s50d50,cassilp,0.396226
30,01,02,k30s50d50,startle,0.259259
30,01,02,k30s50d50,laml,0.145455
30,01,03,k30s50d50,cassgreedy,0.471698
30,01,03,k30s50d50,casshybrid,0.245283
30,01,03,k30s50d50,cassilp,0.222222
30,01,03,k30s50d50,startle,0.185185
30,01,03,k30s50d50,laml,0.254545
30,01,04,k30s50d50,cassgreedy,0.411765
30,01,04,k30s50d50,casshybrid,0.296296
30,01,04,k30s50d50,cassilp,0.169811
30,01,04,k30s50d50,startle,0.185185
30,01,04,k30s50d50,laml,0.109091
30,01,05,k30s50d50,cassgreedy,0.384615
30,01,05,k30s50d50,casshybrid,0.207547
30,01,05,k30s50d50,cassilp,0.169811
30,01,05,k30s50d50,startle,0.222222
30,01,05,k30s50d50,laml,0.109091
30,02,01,k30s50d50,cassgreedy,0.471698
30,02,01,k30s50d50,casshybrid,0.411765
30,02,01,k30s50d50,cassilp,NA
30,02,01,k30s50d50,startle,0.481481
30,02,01,k30s50d50,laml,0.436364
30,02,02,k30s50d50,cassgreedy,0.370370
30,02,02,k30s50d50,casshybrid,0.269231
30,02,02,k30s50d50,cassilp,NA
30,02,02,k30s50d50,startle,0.148148
30,02,02,k30s50d50,laml,0.109091
30,02,03,k30s50d50,cassgreedy,0.509434
30,02,03,k30s50d50,casshybrid,0.538462
30,02,03,k30s50d50,cassilp,NA
30,02,03,k30s50d50,startle,0.518519
30,02,03,k30s50d50,laml,0.436364
30,02,04,k30s50d50,cassgreedy,0.520000
30,02,04,k30s50d50,casshybrid,0.283019
30,02,04,k30s50d50,cassilp,NA
30,02,04,k30s50d50,startle,0.222222
30,02,04,k30s50d50,laml,0.181818
30,02,05,k30s50d50,cassgreedy,0.607843
30,02,05,k30s50d50,casshybrid,0.490196
30,02,05,k30s50d50,cassilp,0.294118
30,02,05,k30s50d50,startle,0.185185
30,02,05,k30s50d50,laml,0.109091
30,03,01,k30s50d50,cassgreedy,0.450980
30,03,01,k30s50d50,casshybrid,0.480000
30,03,01,k30s50d50,cassilp,0.411765
30,03,01,k30s50d50,startle,0.370370
30,03,01,k30s50d50,laml,0.145455
30,03,02,k30s50d50,cassgreedy,0.568627
30,03,02,k30s50d50,casshybrid,0.440000
30,03,02,k30s50d50,cassilp,0.372549
30,03,02,k30s50d50,startle,0.185185
30,03,02,k30s50d50,laml,0.290909
30,03,03,k30s50d50,cassgreedy,0.773585
30,03,03,k30s50d50,casshybrid,0.560000
30,03,03,k30s50d50,cassilp,0.461538
30,03,03,k30s50d50,startle,0.555556
30,03,03,k30s50d50,laml,0.472727
30,03,04,k30s50d50,cassgreedy,0.471698
30,03,04,k30s50d50,casshybrid,0.215686
30,03,04,k30s50d50,cassilp,0.387755
30,03,04,k30s50d50,startle,0.148148
30,03,04,k30s50d50,laml,0.145455
30,03,05,k30s50d50,cassgreedy,0.259259
30,03,05,k30s50d50,casshybrid,0.283019
30,03,05,k30s50d50,cassilp,0.411765
30,03,05,k30s50d50,startle,0.259259
30,03,05,k30s50d50,laml,0.254545
30,04,01,k30s50d50,cassgreedy,0.629630
30,04,01,k30s50d50,casshybrid,0.333333
30,04,01,k30s50d50,cassilp,NA
30,04,01,k30s50d50,startle,0.333333
30,04,01,k30s50d50,laml,0.181818
30,04,02,k30s50d50,cassgreedy,0.698113
30,04,02,k30s50d50,casshybrid,0.666667
30,04,02,k30s50d50,cassilp,NA
30,04,02,k30s50d50,startle,0.444444
30,04,02,k30s50d50,laml,0.400000
30,04,03,k30s50d50,cassgreedy,0.560000
30,04,03,k30s50d50,casshybrid,0.407407
30,04,03,k30s50d50,cassilp,0.673469
30,04,03,k30s50d50,startle,0.444444
30,04,03,k30s50d50,laml,0.363636
30,04,04,k30s50d50,cassgreedy,0.666667
30,04,04,k30s50d50,casshybrid,0.592593
30,04,04,k30s50d50,cassilp,NA
30,04,04,k30s50d50,startle,0.481481
30,04,04,k30s50d50,laml,0.400000
30,04,05,k30s50d50,cassgreedy,0.615385
30,04,05,k30s50d50,casshybrid,0.396226
30,04,05,k30s50d50,cassilp,NA
30,04,05,k30s50d50,startle,0.333333
30,04,05,k30s50d50,laml,0.290909
30,05,01,k30s50d50,cassgreedy,0.629630
30,05,01,k30s50d50,casshybrid,NA
30,05,01,k30s50d50,cassilp,NA
30,05,01,k30s50d50,startle,0.555556
30,05,01,k30s50d50,laml,0.254545
30,05,02,k30s50d50,cassgreedy,0.471698
30,05,02,k30s50d50,casshybrid,0.358491
30,05,02,k30s50d50,cassilp,NA
30,05,02,k30s50d50,startle,0.148148
30,05,02,k30s50d50,laml,0.145455
30,05,03,k30s50d50,cassgreedy,0.333333
30,05,03,k30s50d50,casshybrid,0.169811
30,05,03,k30s50d50,cassilp,NA
30,05,03,k30s50d50,startle,0.074074
30,05,03,k30s50d50,laml,0.109091
30,05,04,k30s50d50,cassgreedy,0.660377
30,05,04,k30s50d50,casshybrid,0.744681
30,05,04,k30s50d50,cassilp,NA
30,05,04,k30s50d50,startle,0.222222
30,05,04,k30s50d50,laml,0.218182
30,05,05,k30s50d50,cassgreedy,0.735849
30,05,05,k30s50d50,casshybrid,0.714286
30,05,05,k30s50d50,cassilp,NA
30,05,05,k30s50d50,startle,0.407407
30,05,05,k30s50d50,laml,0.290909
30,06,01,k30s50d50,cassgreedy,0.481481
30,06,01,k30s50d50,casshybrid,0.396226
30,06,01,k30s50d50,cassilp,0.523810
30,06,01,k30s50d50,startle,0.370370
30,06,01,k30s50d50,laml,0.181818
30,06,02,k30s50d50,cassgreedy,0.471698
30,06,02,k30s50d50,casshybrid,0.400000
30,06,02,k30s50d50,cassilp,0.469388
30,06,02,k30s50d50,startle,0.407407
30,06,02,k30s50d50,laml,0.290909
30,06,03,k30s50d50,cassgreedy,0.576923
30,06,03,k30s50d50,casshybrid,0.411765
30,06,03,k30s50d50,cassilp,0.333333
30,06,03,k30s50d50,startle,0.296296
30,06,03,k30s50d50,laml,0.254545
30,06,04,k30s50d50,cassgreedy,0.461538
30,06,04,k30s50d50,casshybrid,0.509434
30,06,04,k30s50d50,cassilp,NA
30,06,04,k30s50d50,startle,0.259259
30,06,04,k30s50d50,laml,0.254545
30,06,05,k30s50d50,cassgreedy,0.269231
30,06,05,k30s50d50,casshybrid,0.192308
30,06,05,k30s50d50,cassilp,0.254902
30,06,05,k30s50d50,startle,0.185185
30,06,05,k30s50d50,laml,0.109091
