true_nu,true_phi,prioridx,rep,startle_phi,startle_nu,cassg_phi,cassg_nu,truetopo_phi,truetopo_nu,problin_nu,problin_phi,nj_nu,nj_phi,true_llh,startle_NLLH,cassg_NLLH,truetopo_NLLH,problin_NLLH,nj_NLLH,startle_wp,cassg_wp,truetopo_wp,problin_wp,nj_wp,startle_rf,cassg_rf,problin_rf,nj_rf,norm_startle_wp,norm_cassg_wp,norm_truetopo_wp,norm_problin_wp,norm_nj_wp
s0,100,01,r01, 0.25866447489875877, 7.305753511500927e-06, 0.2586598452644978, 2.0399710078655057e-05, 0.2586658023225615, 3.1267509608217175e-06, 9.67260408669411e-06, 0.2586636597680107, 4.298162056967299e-06, 0.2586653380121209,7824.212343865195, 7747.424710700213, 8265.087222939464, 7700.821810187736, 7733.7643405420085, 7966.591922883429,1447.8989864889052,1711.428103760061,1446.6771243822695,1449.7950502882004,1518.856483308157, 0.448124, 0.761905, 0.388664, 0.573991,1447.8989864889052,1711.428103760061,1446.6771243822695,1449.7950502882004,1518.856483308157
s0,100,01,r02, 0.2578652445503409, 4.736139269209784e-06, 0.2578616507659485, 1.413734471594842e-05, 0.25786231750859995, 1.2643114463203556e-05, 5.905823531872377e-06, 0.2578647921023433, 4.945776954569835e-06, 0.257865020846539,7950.614446428411, 7817.562755178361, 8234.843940942403, 7818.562316914336, 7790.715482314379, 8124.890281720761,1523.067678343178,1763.418123889368,1538.9128929048281,1523.5185307646063,1636.1221711796295, 0.419780, 0.713666, 0.352227, 0.615044,1523.067678343178,1763.418123889368,1538.9128929048281,1523.5185307646063,1636.1221711796295
s0,100,01,r03, 0.25305713736768926, 2.7380852499049305e-05, 0.2512734649748352, 0.0044071319161376995, 0.253065900284487, 2.7162472841335054e-06, 0.000178128056299885, 0.25299955634853555, 2.6719404705664108e-06, 0.2530658532527667,7953.023789787517, 7828.820255509767, 8198.632273430043, 7816.743433999719, 7798.578570694469, 8043.553509913133,1541.39463802816,1754.7610269858071,1558.7194421971385,1542.4765133073572,1655.5116052466205, 0.519274, 0.742358, 0.481781, 0.627803,1541.39463802816,1754.7610269858071,1558.7194421971385,1542.4765133073572,1655.5116052466205
s0,100,01,r04, 0.2535989466796387, 3.701699702605466e-06, 0.2535960356802727, 1.1328336644698557e-05, 0.2535992372333665, 2.744850219861071e-06, 2.7938619229228528e-06, 0.2535992361195215, 3.8131696535454313e-06, 0.25359872571367575,7803.670363920751, 7688.383808602764, 8068.902159044449, 7666.944746041248, 7661.59560582511, 7954.005705632643,1466.5161920157316,1661.8377908512132,1474.4263702344579,1471.5276970058694,1562.2481950117758, 0.424107, 0.737991, 0.396761, 0.611738,1466.5161920157316,1661.8377908512132,1474.4263702344579,1471.5276970058694,1562.2481950117758
s0,100,01,r05, 0.253407364696746, 0.0031331907597339525, 0.25427956863736584, 0.0006668564823879741, 0.24986052937002845, 0.01236237324059174, 0.006817506009386573, 0.2519102396230344, 3.728319645616707e-05, 0.25451982023681435,7961.144672651604, 7821.2889809036, 8302.510709501255, 7821.8780922197, 7788.641763032805, 8143.0633633545685,1507.002637355437,1777.4738781274696,1525.7677670267976,1508.025989520646,1650.759318597827, 0.448747, 0.773987, 0.368421, 0.594470,1507.002637355437,1777.4738781274696,1525.7677670267976,1508.025989520646,1650.759318597827
s0,100,02,r01, 0.24785663873581457, 2.5732120084030387e-05, 0.24786169392133447, 1.3545061673976371e-05, 0.24773411884049104, 0.0003251767738173628, 3.767679659106094e-05, 0.2478516647790874, 6.130480897508403e-06, 0.24786454895470447,8736.92311699321, 8637.340106187334, 9256.390300120638, 8601.965175589508, 8614.982193418076, 8848.351588291081,2087.5705385328424,2484.1342982543965,2088.5197004928073,2088.7183549352885,2208.455449708477, 0.291028, 0.648069, 0.238866, 0.469663,2087.5705385328424,2484.1342982543965,2088.5197004928073,2088.7183549352885,2208.455449708477
s0,100,02,r02, 0.24893130357959065, 6.084844703444647e-06, 0.24893144923196944, 5.5486359852297536e-06, 0.2489319803697846, 4.085463889526262e-06, 1.1986091935125225e-05, 0.24892910086026446, 1.816917792869704e-06, 0.24893275740001414,8825.832111668069, 8703.649396296902, 9189.34763682834, 8676.359747241644, 8691.621966990528, 8840.961241038525,2154.8157664770733,2469.885531530609,2151.5461859653956,2157.697384907181,2228.187887553366, 0.334783, 0.645299, 0.259109, 0.449339,2154.8157664770733,2469.885531530609,2151.5461859653956,2157.697384907181,2228.187887553366
s0,100,02,r03, 0.24580358962114893, 0.0001675154971670587, 0.245533812912309, 0.0008310158494751956, 0.24408579337611486, 0.004363502133390499, 0.004603725004999822, 0.24402547890897203, 0.0006421038494922899, 0.24560740749093127,8852.643167112237, 8718.601119255716, 9245.790804392009, 8700.298891703158, 8685.095700915976, 8910.42243669708,2183.3557451309766,2500.585364853959,2192.587390977433,2183.338582869014,2286.276858005982, 0.286031, 0.657143, 0.186235, 0.397753,2183.3557451309766,2500.585364853959,2192.587390977433,2183.338582869014,2286.276858005982
s0,100,02,r04, 0.2519991082445141, 2.8905829323737565e-06, 0.25199494726608895, 1.3515370191039791e-05, 0.25199936482247653, 2.128184816046217e-06, 2.0996335550713765e-06, 0.2519993896198966, 1.939005111271688e-06, 0.25199938290015855,8885.107544645845, 8752.49055868082, 9517.55243015114, 8746.399855600248, 8735.585418859526, 8941.252377156758,2164.674280924587,2689.624109246662,2177.0178214318985,2165.013788064903,2269.438912568692, 0.242424, 0.673036, 0.190283, 0.410480,2164.674280924587,2689.624109246662,2177.0178214318985,2165.013788064903,2269.438912568692
s0,100,02,r05, 0.24546529304915377, 4.483110338343122e-06, 0.24546478882729278, 5.733730040093788e-06, 0.24546542063245824, 4.060605096450428e-06, 3.6368681752249945e-06, 0.24546559347718372, 3.188749826677523e-05, 0.24545502052528662,8786.344856902577, 8660.00977840546, 9078.815752026409, 8652.62221336351, 8632.797633376738, 8798.900713373325,2109.366722277401,2407.1358743158976,2133.2765079747687,2113.2137703668877,2180.201569284655, 0.308204, 0.602592, 0.238866, 0.404444,2109.366722277401,2407.1358743158976,2133.2765079747687,2113.2137703668877,2180.201569284655
s0,100,03,r01, 0.2565326634049778, 2.365186412134532e-06, 0.2565312699856775, 6.091051496626244e-06, 0.25653275591957436, 2.0434241554857504e-06, 3.1392155344187635e-06, 0.25653239898779967, 2.8249588051118846e-06, 0.2565324466561242,8112.982856254633, 8016.394354665023, 8629.19951903191, 7977.5110455252325, 7987.104825651159, 8175.767838019739,1695.93770967233,2080.178095952826,1688.4804646200166,1697.1472376178606,1753.5116584176192, 0.378378, 0.744589, 0.356275, 0.477273,1695.93770967233,2080.178095952826,1688.4804646200166,1697.1472376178606,1753.5116584176192
s0,100,03,r02, 0.24986485062358624, 6.0410801735997345e-06, 0.2487381060451463, 0.003024916331995186, 0.2498629205430158, 1.128347613593275e-05, 1.2980739842987532e-05, 0.24986244901389865, 7.0775119743572565e-06, 0.24986428947949058,8123.403084403753, 8033.83573054267, 8595.808289397593, 7986.098402296916, 7987.123176327797, 8207.838625773451,1738.9881777574778,2088.133608000101,1739.5711423494106,1737.783690177152,1825.8356776336614, 0.457859, 0.770925, 0.404858, 0.539150,1738.9881777574778,2088.133608000101,1739.5711423494106,1737.783690177152,1825.8356776336614
s0,100,03,r03, 0.24893180621653357, 4.68135646812048e-06, 0.24892966920464768, 1.023713486843062e-05, 0.24893231429968102, 3.3048105569106073e-06, 4.0696688339176095e-06, 0.24893203364013808, 2.6108872345692264e-06, 0.24893250177188547,8253.900325439354, 8133.656412113175, 8682.682032250344, 8117.908928898861, 8114.658135167032, 8342.029147848405,1781.5876309768646,2135.853065049329,1802.8875496317564,1786.331785558586,1877.923422433277, 0.380846, 0.765217, 0.344130, 0.492063,1781.5876309768646,2135.853065049329,1802.8875496317564,1786.331785558586,1877.923422433277
s0,100,03,r04, 0.2497312841833628, 6.396713484980633e-06, 0.2497303652899521, 8.521530154959894e-06, 0.24973259327778474, 2.737719460726562e-06, 2.0656765259773295e-05, 0.24972645513041739, 1.2368304408149055e-06, 0.2497330052407948,8110.305904551335, 8034.507221998599, 8499.35740114662, 7986.159478470719, 8002.353838754393, 8259.549049218413,1729.7135784873328,1993.5991187596476,1726.8029032435352,1729.784196054547,1826.8051646006566, 0.419780, 0.745690, 0.340081, 0.534989,1729.7135784873328,1993.5991187596476,1726.8029032435352,1729.784196054547,1826.8051646006566
s0,100,03,r05, 0.25786587747570594, 2.956521904919468e-06, 0.2578656225289287, 3.473065900888236e-06, 0.2578655527980142, 3.8069568747141654e-06, 2.1157052205151695e-06, 0.25786613604537173, 2.649549741575708e-06, 0.25786590289697536,8051.222431178556, 7965.812970084227, 8407.741175839568, 7910.991013858842, 7901.716042819303, 8141.52783927626,1642.907953969848,1935.7627168367528,1633.2132656460271,1629.7360299155682,1724.0821404598817, 0.443439, 0.713043, 0.331984, 0.565022,1642.907953969848,1935.7627168367528,1633.2132656460271,1629.7360299155682,1724.0821404598817
