modelcond,jobidx,Ultra,NoConstraint
s0d100p01,0,0.388664,0.396761
s0d100p01,2,0.348178,0.380567
s0d100p01,4,0.453441,0.469636
s0d100p01,6,0.384615,0.421053
s0d100p01,8,0.356275,0.404858
s0d100p02,10,0.246964,0.259109
s0d100p02,12,0.246964,0.307692
s0d100p02,14,0.170040,0.238866
s0d100p02,16,0.190283,0.226721
s0d100p02,18,0.242915,0.279352
s0d100p03,20,0.372470,0.360324
s0d100p03,22,0.421053,0.425101
s0d100p03,24,0.327935,0.352227
s0d100p03,26,0.352227,0.356275
s0d100p03,28,0.348178,0.396761
s0d100p04,30,0.319838,0.356275
s0d100p04,32,0.291498,0.311741
s0d100p04,34,0.380567,0.392713
s0d100p04,36,0.380567,0.388664
s0d100p04,38,0.368421,0.368421
s0d100p05,40,0.538462,0.578947
s0d100p05,42,0.518219,0.534413
s0d100p05,44,0.506073,0.546559
s0d100p05,46,0.518219,0.506073
s0d100p05,48,0.530364,0.510121
s0d100p06,50,0.307692,0.336032
s0d100p06,52,0.388664,0.425101
s0d100p06,54,0.421053,0.429150
s0d100p06,56,0.425101,0.449393
s0d100p06,58,0.404858,0.429150
s0d100p07,60,0.368421,0.417004
s0d100p07,62,0.311741,0.360324
s0d100p07,64,0.327935,0.348178
s0d100p07,66,0.279352,0.311741
s0d100p07,68,0.331984,0.404858
s0d100p08,70,0.425101,0.445344
s0d100p08,72,0.497976,0.514170
s0d100p08,74,0.392713,0.417004
s0d100p08,76,0.522267,0.506073
s0d100p08,78,0.526316,0.570850
s0d100p09,80,0.352227,0.388664
s0d100p09,82,0.408907,0.433198
s0d100p09,84,0.384615,0.408907
s0d100p09,86,0.506073,0.518219
s0d100p09,88,0.441296,0.441296
s0d100p10,90,0.506073,0.481781
s0d100p10,92,0.384615,0.396761
s0d100p10,94,0.368421,0.408907
s0d100p10,96,0.400810,0.425101
s0d100p10,98,0.372470,0.404858
s100d0p01,100,0.242915,0.275304
s100d0p01,102,0.246964,0.271255
s100d0p01,104,0.186235,0.226721
s100d0p01,106,0.238866,0.226721
s100d0p01,108,0.279352,0.287449
s100d0p02,110,0.129555,0.174089
s100d0p02,112,0.165992,0.165992
s100d0p02,114,0.137652,0.145749
s100d0p02,116,0.117409,0.137652
s100d0p02,118,0.125506,0.101215
s100d0p03,120,0.234818,0.238866
s100d0p03,122,0.234818,0.267206
s100d0p03,124,0.149798,0.190283
s100d0p03,126,0.230769,0.214575
s100d0p03,128,0.186235,0.222672
s100d0p04,130,0.174089,0.198381
s100d0p04,132,0.170040,0.182186
s100d0p04,134,0.222672,0.234818
s100d0p04,136,0.194332,0.238866
s100d0p04,138,0.170040,0.198381
s100d0p05,140,0.230769,0.238866
s100d0p05,142,0.182186,0.198381
s100d0p05,144,0.226721,0.271255
s100d0p05,146,0.230769,0.230769
s100d0p05,148,0.263158,0.259109
s100d0p06,150,0.210526,0.194332
s100d0p06,152,0.230769,0.234818
s100d0p06,154,0.238866,0.226721
s100d0p06,156,0.165992,0.186235
s100d0p06,158,0.141700,0.149798
s100d0p07,160,0.263158,0.283401
s100d0p07,162,0.230769,0.222672
s100d0p07,164,0.194332,0.182186
s100d0p07,166,0.238866,0.279352
s100d0p07,168,0.210526,0.234818
s100d0p08,170,0.214575,0.218623
s100d0p08,172,0.242915,0.271255
s100d0p08,174,0.279352,0.283401
s100d0p08,176,0.198381,0.194332
s100d0p08,178,0.251012,0.319838
s100d0p09,180,0.141700,0.137652
s100d0p09,182,0.186235,0.206478
s100d0p09,184,0.109312,0.157895
s100d0p09,186,0.125506,0.137652
s100d0p09,188,0.149798,0.165992
s100d0p10,190,0.230769,0.271255
s100d0p10,192,0.109312,0.109312
s100d0p10,194,0.182186,0.230769
s100d0p10,196,0.161943,0.161943
s100d0p10,198,0.161943,0.141700
s25d75p01,200,0.340081,0.380567
s25d75p01,202,0.388664,0.445344
s25d75p01,204,0.311741,0.368421
s25d75p01,206,0.376518,0.400810
s25d75p01,208,0.380567,0.408907
s25d75p02,210,0.291498,0.319838
s25d75p02,212,0.238866,0.246964
s25d75p02,214,0.283401,0.307692
s25d75p02,216,0.234818,0.275304
s25d75p02,218,0.275304,0.311741
s25d75p03,220,0.255061,0.271255
s25d75p03,222,0.259109,0.307692
s25d75p03,224,0.242915,0.327935
s25d75p03,226,0.251012,0.279352
s25d75p03,228,0.315789,0.311741
s25d75p04,230,0.356275,0.344130
s25d75p04,232,0.295547,0.319838
s25d75p04,234,0.336032,0.364372
s25d75p04,236,0.271255,0.311741
s25d75p04,238,0.295547,0.311741
s25d75p05,240,0.449393,0.457490
s25d75p05,242,0.380567,0.437247
s25d75p05,244,0.421053,0.493927
s25d75p05,246,0.506073,0.542510
s25d75p05,248,0.323887,0.352227
s25d75p06,250,0.210526,0.230769
s25d75p06,252,0.283401,0.291498
s25d75p06,254,0.267206,0.263158
s25d75p06,256,0.303644,0.348178
s25d75p06,258,0.267206,0.311741
s25d75p07,260,0.210526,0.222672
s25d75p07,262,0.364372,0.408907
s25d75p07,264,0.303644,0.315789
s25d75p07,266,0.283401,0.331984
s25d75p07,268,0.287449,0.291498
s25d75p08,270,0.400810,0.376518
s25d75p08,272,0.376518,0.404858
s25d75p08,274,0.315789,0.295547
s25d75p08,276,0.400810,0.396761
s25d75p08,278,0.364372,0.425101
s25d75p09,280,0.348178,0.356275
s25d75p09,282,0.315789,0.323887
s25d75p09,284,0.323887,0.340081
s25d75p09,286,0.323887,0.364372
s25d75p09,288,0.307692,0.352227
s25d75p10,290,0.356275,0.400810
s25d75p10,292,0.412955,0.417004
s25d75p10,294,0.384615,0.400810
s25d75p10,296,0.388664,0.417004
s25d75p10,298,0.364372,0.384615
s50d50p01,300,0.255061,0.279352
s50d50p01,302,0.352227,0.364372
s50d50p01,304,0.364372,0.388664
s50d50p01,306,0.291498,0.315789
s50d50p01,308,0.331984,0.396761
s50d50p02,310,0.259109,0.287449
s50d50p02,312,0.336032,0.372470
s50d50p02,314,0.319838,0.307692
s50d50p02,316,0.279352,0.287449
s50d50p02,318,0.303644,0.348178
s50d50p03,320,0.307692,0.356275
